label,premise_clean,hypothesis_clean,premise_lemma,hypothesis_lemma,premise_pos,hypothesis_pos
contradiction,"A woman wearing a blue top, brushes the hair of another woman, wearing a green top.",womans are brush their hair,"a woman wear a blue top , brush the hair of another woman , wear a green top .",womans be brush their hair,DET NOUN VERB DET ADJ NOUN PUNCT VERB DET NOUN ADP DET NOUN PUNCT VERB DET ADJ NOUN PUNCT,PROPN AUX VERB PRON NOUN
contradiction,There are trees with no leaves in the background.,The trees are entirely underground,there be tree with no leaf in the background .,the tree be entirely underground,PRON AUX NOUN ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN AUX ADV ADJ
contradiction,The climber is wearing a red jacket as he climbs the ice.,The climber is swimming through a lake.,the climber be wear a red jacket as he climb the ice .,the climber be swim through a lake .,DET NOUN AUX VERB DET ADJ NOUN ADP PRON VERB DET NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,Small middle eastern child in sort of wooden underground cave.,A girl enjoys a day out with her family in the park.,small middle eastern child in sort of wooden underground cave .,a girl enjoy a day out with her family in the park .,ADJ ADJ ADJ NOUN ADP ADV ADV ADJ ADJ NOUN PUNCT,DET NOUN VERB DET NOUN ADV ADP PRON NOUN ADP DET NOUN PUNCT
contradiction,A room filled with many officials who are taking a vote.,The room is empty.,a room fill with many official who be take a vote .,the room be empty .,DET NOUN VERB ADP ADJ NOUN PRON AUX VERB DET NOUN PUNCT,DET NOUN AUX ADJ PUNCT
contradiction,A person in a black jacket against a snowy backdrop leaping into the air.,A person is swimming in a river.,a person in a black jacket against a snowy backdrop leap into the air .,a person be swim in a river .,DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,A group of four men are sitting at a table drinking beer.,The men are drinking wine instead of beer.,a group of four man be sit at a table drink beer .,the man be drink wine instead of beer .,DET NOUN ADP NUM NOUN AUX VERB ADP DET NOUN VERB NOUN PUNCT,DET NOUN AUX VERB NOUN ADV ADP NOUN PUNCT
contradiction,i cannot see an image here.,A rainbow.,i can not see an image here .,a rainbow .,PRON AUX PART VERB DET NOUN ADV PUNCT,DET NOUN PUNCT
contradiction,children sit on top of somebody in a banana suit.,Children run around someone.,child sit on top of somebody in a banana suit .,child run around someone .,NOUN VERB ADP NOUN ADP PRON ADP DET NOUN NOUN PUNCT,NOUN VERB ADP PRON PUNCT
contradiction,A man with a motorcycle helmet stands in front of a row of colorful buildings.,A shark is seen at a beach.,a man with a motorcycle helmet stand in front of a row of colorful building .,a shark be see at a beach .,DET NOUN ADP DET NOUN NOUN VERB ADP NOUN ADP DET NOUN ADP ADJ NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,Two children swinging on swings,Two children swing from a tree branch.,two child swing on swing,two child swing from a tree branch .,NUM NOUN VERB ADP NOUN,NUM NOUN VERB ADP DET NOUN NOUN PUNCT
contradiction,A young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips.,A man is eating dinner.,a young man hold up a piece of wood and a chainsaw as press a cigarette between his lip .,a man be eat dinner .,DET ADJ NOUN VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP VERB DET NOUN ADP PRON NOUN PUNCT,DET NOUN AUX VERB NOUN PUNCT
contradiction,Two men holding skateboards and one man skateboarding.,A group of friends play a board game in the living room.,two man hold skateboard and one man skateboard .,a group of friend play a board game in the living room .,NUM NOUN VERB NOUN CCONJ NUM NOUN VERB PUNCT,DET NOUN ADP NOUN VERB DET NOUN NOUN ADP DET NOUN NOUN PUNCT
contradiction,"Two children playing at a beach, one in pink, drawing in the sand and the second child, in green, standing in the water.",A child swims to recuse another fro drowning.,"two child play at a beach , one in pink , draw in the sand and the second child , in green , stand in the water .",a child swim to recuse another fro drowning .,NUM NOUN VERB ADP DET NOUN PUNCT NUM ADP ADJ PUNCT VERB ADP DET NOUN CCONJ DET ADJ NOUN PUNCT ADP PROPN PUNCT VERB ADP DET NOUN PUNCT,DET NOUN VERB PART VERB DET NOUN NOUN PUNCT
contradiction,Two boys practicing karate.,The top students of the two top schools stare at the wreckage before them and wonder if the destruction was worth winning the ice sculpting contest.,two boy practice karate .,the top student of the two top school stare at the wreckage before they and wonder if the destruction be worth win the ice sculpting contest .,NUM NOUN VERB NOUN PUNCT,DET ADJ NOUN ADP DET NUM ADJ NOUN VERB ADP DET NOUN ADP PRON CCONJ VERB SCONJ DET NOUN AUX ADJ VERB DET NOUN ADJ NOUN PUNCT
contradiction,"Two people, dressed in red, dancing.",Two people are playing tennis.,"two people , dress in red , dancing .",two people be play tennis .,NUM NOUN PUNCT VERB ADP NOUN PUNCT NOUN PUNCT,NUM NOUN AUX VERB NOUN PUNCT
contradiction,A young girl feeding the birds in the park.,The girl is eating the birds.,a young girl feed the bird in the park .,the girl be eat the bird .,DET ADJ NOUN VERB DET NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB DET NOUN PUNCT
contradiction,Dirt bikes get airborne at a racetrack.,The riders are sitting idly.,dirt bike get airborne at a racetrack .,the rider be sit idly .,NOUN NOUN VERB ADJ ADP DET NOUN PUNCT,DET NOUN AUX VERB ADV PUNCT
contradiction,Two men walking down the street.,the men are asleep in the motel,two man walk down the street .,the man be asleep in the motel,NUM NOUN VERB ADP DET NOUN PUNCT,DET NOUN AUX ADJ ADP DET NOUN
contradiction,A sunset over a lake.,A sunrise over a lake.,a sunset over a lake .,a sunrise over a lake .,DET NOUN ADP DET NOUN PUNCT,DET NOUN ADP DET NOUN PUNCT
contradiction,Construction workers are working on a pipe on the side of a building.,The construction workers are getting ready to go home.,construction worker be work on a pipe on the side of a building .,the construction worker be get ready to go home .,NOUN NOUN AUX VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN NOUN AUX VERB ADJ PART VERB ADV PUNCT
contradiction,A young woman smiles at the camera as she sunbathes in the ocean.,The young woman is running up hill.,a young woman smile at the camera as she sunbathe in the ocean .,the young woman be run up hill .,DET ADJ NOUN VERB ADP DET NOUN ADP PRON VERB ADP DET NOUN PUNCT,DET ADJ NOUN AUX VERB ADP NOUN PUNCT
contradiction,A man without a shirt is working on the roof of a house.,A shirtless man is sunbathing on the roof of a house,a man without a shirt be work on the roof of a house .,a shirtless man be sunbathe on the roof of a house,DET NOUN ADP DET NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN NOUN AUX VERB ADP DET NOUN ADP DET NOUN
contradiction,A child playing with her peers in the school playground.,The children are inside the school reading books.,a child play with her peer in the school playground .,the child be inside the school reading book .,DET NOUN VERB ADP PRON NOUN ADP DET NOUN NOUN PUNCT,DET NOUN AUX ADP DET NOUN NOUN NOUN PUNCT
contradiction,"Six people in water wearing swimming suits, one man with his trucks pulled up above his belly button.",The 6 people are wearing dresses and riding on a train while it is pouring outside.,"six people in water wear swimming suit , one man with his truck pull up above his belly button .",the 6 people be wear dress and rid on a train while it be pour outside .,NUM NOUN ADP NOUN VERB NOUN NOUN PUNCT NUM NOUN ADP PRON NOUN VERB ADP ADP PRON NOUN NOUN PUNCT,DET NUM NOUN AUX VERB NOUN CCONJ VERB ADP DET NOUN SCONJ PRON AUX VERB ADV PUNCT
contradiction,A man dressed in an army uniform next to a person with a green shirt hanging from a pole.,there is a man dressed in a policeman uniform standing next to a person wearing a suspenders hanging from a street lamp,a man dress in an army uniform next to a person with a green shirt hang from a pole .,there be a man dress in a policeman uniform stand next to a person wear a suspender hang from a street lamp,DET NOUN VERB ADP DET NOUN NOUN ADV ADP DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN PUNCT,PRON AUX DET NOUN VERB ADP DET NOUN NOUN VERB ADV ADP DET NOUN VERB DET NOUN VERB ADP DET NOUN NOUN
contradiction,Busy checkout in a oriental grocery store.,Empty checkout at a mexican store.,busy checkout in a oriental grocery store .,empty checkout at a mexican store .,ADJ NOUN ADP DET ADJ NOUN NOUN PUNCT,ADJ NOUN ADP DET ADJ NOUN PUNCT
contradiction,"5 female soccer players wearing green uniforms, huddled on a field with their yellow-clad coach.",An all male soccer team huddle with the ref on the sidelines.,"5 female soccer player wear green uniform , huddle on a field with their yellow - clothe coach .",an all male soccer team huddle with the ref on the sideline .,NUM ADJ NOUN NOUN VERB ADJ NOUN PUNCT VERB ADP DET NOUN ADP PRON ADJ PUNCT VERB NOUN PUNCT,DET DET ADJ NOUN NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT
contradiction,A surfer in a black wetsuit holding his balance on the crest of a wave as it begins to break around him.,A person is snowmobiling,a surfer in a black wetsuit hold his balance on the crest of a wave as it begin to break around he .,a person be snowmobile,DET NOUN ADP DET ADJ NOUN VERB PRON NOUN ADP DET NOUN ADP DET NOUN ADP PRON VERB PART VERB ADP PRON PUNCT,DET NOUN AUX VERB
contradiction,A man looks at merchandise in a store.,The man is walking out of a store.,a man look at merchandise in a store .,the man be walk out of a store .,DET NOUN VERB ADP NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB ADP ADP DET NOUN PUNCT
contradiction,Four children gather in front of a fence.,A man drives his car into his driveway.,four child gather in front of a fence .,a man drive his car into his driveway .,NUM NOUN VERB ADP NOUN ADP DET NOUN PUNCT,DET NOUN VERB PRON NOUN ADP PRON NOUN PUNCT
contradiction,Two men are working so hard.,Two older women are talking to each other.,two man be work so hard .,two old woman be talk to each other .,NUM NOUN AUX VERB ADV ADV PUNCT,NUM ADJ NOUN AUX VERB ADP DET ADJ PUNCT
contradiction,Man in orange vest maintains the wall tiles.,A worker is sitting down eating lunch.,man in orange vest maintain the wall tile .,a worker be sit down eat lunch .,NOUN ADP PROPN PROPN VERB DET NOUN NOUN PUNCT,DET NOUN AUX VERB ADP VERB NOUN PUNCT
contradiction,Two people ride the train.,The train is crowded.,two people ride the train .,the train be crowd .,NUM NOUN VERB DET NOUN PUNCT,DET NOUN AUX VERB PUNCT
contradiction,A street musician in a red jacket and sweatpants plays guitar while pedestrians walk past.,A man sells his poetry for money in the subway station.,a street musician in a red jacket and sweatpant play guitar while pedestrian walk past .,a man sell his poetry for money in the subway station .,DET NOUN NOUN ADP DET ADJ NOUN CCONJ NOUN VERB NOUN SCONJ NOUN VERB ADV PUNCT,DET NOUN VERB PRON NOUN ADP NOUN ADP DET NOUN NOUN PUNCT
contradiction,A clown wearing a cowboy hat and a microphone smiles.,A clown wearing a tuxedo and a lightbulb frowns.,a clown wear a cowboy hat and a microphone smile .,a clown wear a tuxedo and a lightbulb frown .,DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT,DET NOUN VERB DET NOUN CCONJ DET NOUN NOUN PUNCT
contradiction,One soccer player in an orange uniform getting hit in the face by a ball kicked by a player in blue.,A player kicks a football and hits his teammate in the face.,one soccer player in an orange uniform get hit in the face by a ball kick by a player in blue .,a player kick a football and hit his teammate in the face .,NUM NOUN NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN ADP ADJ PUNCT,DET NOUN VERB DET NOUN CCONJ VERB PRON NOUN ADP DET NOUN PUNCT
contradiction,A woman is hanging her clothing on a clothesline.,The woman is hanging flowers on her front porch.,a woman be hang her clothing on a clothesline .,the woman be hang flower on her front porch .,DET NOUN AUX VERB PRON NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB NOUN ADP PRON ADJ NOUN PUNCT
contradiction,A man competing in a sport with a horse.,A man is sleeping at home.,a man compete in a sport with a horse .,a man be sleep at home .,DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB ADP NOUN PUNCT
contradiction,A woman in an orange scarf pulls a pack of cigarettes from a carton.,The woman is buying cigarettes from a store.,a woman in an orange scarf pull a pack of cigarette from a carton .,the woman be buy cigarette from a store .,DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB NOUN ADP DET NOUN PUNCT
contradiction,Three oriental men are riding on a red moped scooter in the city with many people.,three men are laying on the beach,three oriental man be rid on a red mop scooter in the city with many people .,three man be lay on the beach,NUM ADJ NOUN AUX VERB ADP DET ADJ VERB NOUN ADP DET NOUN ADP ADJ NOUN PUNCT,NUM NOUN AUX VERB ADP DET NOUN
contradiction,Two volleyball girls team both jumping for a double high-five,Girls are dancing.,two volleyball girl team both jump for a double high - five,girl be dance .,NUM NOUN NOUN NOUN DET VERB ADP DET ADJ ADJ PUNCT NUM,NOUN AUX VERB PUNCT
contradiction,Someone wearing a blue shirt is riding a bike with a child's seat on the front of it.,A person is riding a bike with an elephant in the child seat.,someone wear a blue shirt be rid a bike with a child 's seat on the front of it .,a person be rid a bike with an elephant in the child seat .,PRON VERB DET ADJ NOUN AUX VERB DET NOUN ADP DET NOUN PART NOUN ADP DET NOUN ADP PRON PUNCT,DET NOUN AUX VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT
contradiction,"Two little children, one boy and one girl, laugh as they sit on the grass.",The children are inside playing video games.,"two little child , one boy and one girl , laugh as they sit on the grass .",the child be inside play video game .,NUM ADJ NOUN PUNCT NUM NOUN CCONJ NUM NOUN PUNCT VERB ADP PRON VERB ADP DET NOUN PUNCT,DET NOUN AUX ADV VERB NOUN NOUN PUNCT
contradiction,"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",Two friends playing,"two small girl , one in a blue and violet dress , the other in a red strip outfit be paint with red and yellow on a piece of canvas in the street .",two friend play,NUM ADJ NOUN PUNCT NUM ADP DET ADJ CCONJ NOUN NOUN PUNCT DET ADJ ADP DET ADJ VERB NOUN AUX VERB ADP ADJ CCONJ ADJ ADP DET NOUN ADP NOUN ADP DET NOUN PUNCT,NUM NOUN VERB
contradiction,A woman in hospital scrubs jumps on the sidewalk as a second woman in hospital scrubs watches.,A man and a woman are standing outside of their office building.,a woman in hospital scrub jump on the sidewalk as a second woman in hospital scrub watch .,a man and a woman be stand outside of their office building .,DET NOUN ADP NOUN NOUN VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN NOUN NOUN PUNCT,DET NOUN CCONJ DET NOUN AUX VERB ADV ADP PRON NOUN NOUN PUNCT
contradiction,A man dressed in a yellow sports uniform and another man dressed in a red and white sports uniform holding sticks with a ball floating between them.,Two women fight over a soccer ball on a field in the rain.,a man dress in a yellow sport uniform and another man dress in a red and white sport uniform hold stick with a ball float between they .,two woman fight over a soccer ball on a field in the rain .,DET NOUN VERB ADP DET ADJ NOUN NOUN CCONJ DET NOUN VERB ADP DET ADJ CCONJ ADJ NOUN NOUN VERB NOUN ADP DET NOUN VERB ADP PRON PUNCT,NUM NOUN VERB ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT
contradiction,Person with black hat and black coat near buildings with signs.,A person sunbathes near buildings with signs.,person with black hat and black coat near building with sign .,a person sunbathe near building with sign .,PROPN ADP ADJ NOUN CCONJ ADJ NOUN ADP NOUN ADP NOUN PUNCT,DET NOUN VERB ADP NOUN ADP NOUN PUNCT
contradiction,A woman is standing in front of a counter at a cafe.,a man robs a cafe,a woman be stand in front of a counter at a cafe .,a man rob a cafe,DET NOUN AUX VERB ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN VERB DET NOUN
contradiction,Woman on four way seesaw with 2 kids.,The kids are running through the park.,woman on four way seesaw with 2 kid .,the kid be run through the park .,NOUN ADP NUM NOUN NOUN ADP NUM NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,A child with goggles and a floaty swimming in a body of water.,A child wearing goggles jumps off a diving board.,a child with goggle and a floaty swim in a body of water .,a child wear goggle jump off a diving board .,DET NOUN ADP NOUN CCONJ DET NOUN VERB ADP DET NOUN ADP NOUN PUNCT,DET NOUN VERB NOUN VERB ADP DET NOUN NOUN PUNCT
contradiction,A man in a yellow shirt and striped pants is sitting at a small table outside.,The man is standing on top of the flagpole.,a man in a yellow shirt and striped pant be sit at a small table outside .,the man be stand on top of the flagpole .,DET NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN AUX VERB ADP DET ADJ NOUN ADV PUNCT,DET NOUN AUX VERB ADP NOUN ADP DET NOUN PUNCT
contradiction,"An african american lady holding numerous items like cups, plate, baskets, etc.",A man walks alone.,"an african american lady hold numerous item like cup , plate , basket , etc .",a man walk alone .,DET ADJ ADJ PROPN VERB ADJ NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT X PUNCT,DET NOUN VERB ADV PUNCT
contradiction,Group of three men and women in their late 20s watching an older man play guitar in the park.,An old man is playing the flute.,group of three man and woman in their late 20 watch an old man play guitar in the park .,an old man be play the flute .,PROPN ADP NUM NOUN CCONJ NOUN ADP PRON ADJ NOUN VERB DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT,DET ADJ NOUN AUX VERB DET NOUN PUNCT
contradiction,"Rocks surround the feet of an adventurer, burrowing into an underground cave.",Two ladies watching the scenery in the pool.,"rock surround the foot of an adventurer , burrow into an underground cave .",two lady watch the scenery in the pool .,NOUN VERB DET NOUN ADP DET NOUN PUNCT VERB ADP DET ADJ NOUN PUNCT,NUM NOUN VERB DET NOUN ADP DET NOUN PUNCT
contradiction,A woman is looking over her products.,A woman is giving her products,a woman be look over her product .,a woman be give her product,DET NOUN AUX VERB ADP PRON NOUN PUNCT,DET NOUN AUX VERB PRON NOUN
contradiction,A bicyclist waits to cross a street.,A bicyclist riding down the trail.,a bicyclist wait to cross a street .,a bicyclist rid down the trail .,DET NOUN VERB PART VERB DET NOUN PUNCT,DET NOUN VERB ADP DET NOUN PUNCT
contradiction,Three women look on as two men look at the tire of a bike.,The women are looking at a newspaper,three woman look on as two man look at the tire of a bike .,the woman be look at a newspaper,NUM NOUN VERB ADP ADP NUM NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN
contradiction,People waiting for train on tiled platform.,People stuck in traffic on the highway.,people wait for train on tile platform .,people stick in traffic on the highway .,NOUN VERB ADP NOUN ADP VERB NOUN PUNCT,NOUN VERB ADP NOUN ADP DET NOUN PUNCT
contradiction,A couple crossing the street at night.,A couple are crossing a river by canoe.,a couple cross the street at night .,a couple be cross a river by canoe .,DET NOUN VERB DET NOUN ADP NOUN PUNCT,DET NOUN AUX VERB DET NOUN ADP PROPN PUNCT
contradiction,A group of soldiers in silhouette against an urban skyline.,Soldiers are inside the dining hall.,a group of soldier in silhouette against an urban skyline .,soldier be inside the dining hall .,DET NOUN ADP NOUN ADP NOUN ADP DET ADJ NOUN PUNCT,NOUN AUX ADP DET NOUN NOUN PUNCT
contradiction,Cabins in winter surrounded by people enjoying the white powder.,People slept in winter.,cabin in winter surround by people enjoy the white powder .,people sleep in winter .,NOUN ADP NOUN VERB ADP NOUN VERB DET ADJ NOUN PUNCT,NOUN VERB ADP NOUN PUNCT
contradiction,A kid is using a touch-screen computer in a retail store.,A kid shooting hoops,a kid be use a touch - screen computer in a retail store .,a kid shooting hoop,DET NOUN AUX VERB DET NOUN PUNCT NOUN NOUN ADP DET ADJ NOUN PUNCT,DET ADJ NOUN NOUN
contradiction,Two kids asleep on a futon.,Two kids are running a marathon.,two kid asleep on a futon .,two kid be run a marathon .,NUM NOUN ADJ ADP DET NOUN PUNCT,NUM NOUN AUX VERB DET NOUN PUNCT
contradiction,An Asian kickboxer is in the middle of kicking his opponent in the ring at a Mohegan Sun casino.,the men are skipping across the casino floor as they just hit the jackpot,an asian kickboxer be in the middle of kick his opponent in the ring at a mohegan sun casino .,the man be skip across the casino floor as they just hit the jackpot,DET ADJ PROPN AUX ADP DET NOUN ADP VERB PRON NOUN ADP DET NOUN ADP DET PROPN PROPN NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN NOUN ADP PRON ADV VERB DET NOUN
contradiction,"A woman with a blue shirt and blue shorts has her hand on a white taxi, as a boy in a green and white shirt walks beside her.",A boy chases a woman who is stealing his taxi.,"a woman with a blue shirt and blue short have her hand on a white taxi , as a boy in a green and white shirt walk beside she .",a boy chase a woman who be steal his taxi .,DET NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN AUX PRON NOUN ADP DET ADJ NOUN PUNCT ADP DET NOUN ADP DET ADJ CCONJ ADJ NOUN VERB ADP PRON PUNCT,DET NOUN VERB DET NOUN PRON AUX VERB PRON NOUN PUNCT
contradiction,A little girl in a white sweater with polka dots is playing with a wooden tracked train set.,A girl plays with her doll.,a little girl in a white sweater with polka dot be play with a wooden track train set .,a girl play with her doll .,DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN NOUN AUX VERB ADP DET ADJ VERB NOUN NOUN PUNCT,DET NOUN VERB ADP PRON NOUN PUNCT
contradiction,Man checking under the hood of a vintage car in a parade.,man walking around the vintage car in parade,man check under the hood of a vintage car in a parade .,man walk around the vintage car in parade,NOUN VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT,NOUN VERB ADP DET ADJ NOUN ADP NOUN
contradiction,A woman with a black shirt and black scarf looks at the camera while holding a cellphone.,The woman is juggling chainsawas.,a woman with a black shirt and black scarf look at the camera while hold a cellphone .,the woman be juggle chainsawa .,DET NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN SCONJ VERB DET NOUN PUNCT,DET NOUN AUX VERB VERB PUNCT
contradiction,A half dozen construction workers stand beside a large piece of equipment.,The workers are destroying the tea making equipment.,a half dozen construction worker stand beside a large piece of equipment .,the worker be destroy the tea making equipment .,DET ADJ NOUN NOUN NOUN VERB ADP DET ADJ NOUN ADP NOUN PUNCT,DET NOUN AUX VERB DET NOUN NOUN NOUN PUNCT
contradiction,"The infant has plenty of toys, but attention is drawn to the nearby cat.",The infant is playing with a puppie.,"the infant have plenty of toy , but attention be draw to the nearby cat .",the infant be play with a puppie .,DET NOUN AUX NOUN ADP NOUN PUNCT CCONJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT,DET NOUN AUX VERB ADP DET NOUN PUNCT
contradiction,Two young boys rollerskating with a girl and her mother in the background.,The boys are biking.,two young boy rollerskate with a girl and her mother in the background .,the boy be bike .,NUM ADJ NOUN VERB ADP DET NOUN CCONJ PRON NOUN ADP DET NOUN PUNCT,DET NOUN AUX VERB PUNCT
contradiction,A person on a bike and wearing a helmet rides through a wooded area.,A person on a bike and wearing a helmet rides through an urban area.,a person on a bike and wear a helmet ride through a woode area .,a person on a bike and wear a helmet ride through an urban area .,DET NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN ADP DET VERB NOUN PUNCT,DET NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN ADP DET ADJ NOUN PUNCT
contradiction,A baseball player with# 22 on his uniform swings at a ball.,A ball player is pitching on the mound.,a baseball player with # 22 on his uniform swing at a ball .,a ball player be pitch on the mound .,DET NOUN NOUN ADP NOUN NUM ADP PRON ADJ NOUN ADP DET NOUN PUNCT,DET NOUN NOUN AUX VERB ADP DET NOUN PUNCT
