label,premise,hypothesis
contradiction,A young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips.,A man is eating dinner.
contradiction,Two men holding skateboards and one man skateboarding.,A group of friends play a board game in the living room.
contradiction,"Two children playing at a beach, one in pink, drawing in the sand and the second child, in green, standing in the water.",A child swims to recuse another fro drowning.
contradiction,Two boys practicing karate.,The top students of the two top schools stare at the wreckage before them and wonder if the destruction was worth winning the ice sculpting contest.
contradiction,"Two people, dressed in red, dancing.",Two people are playing tennis.
contradiction,A young girl feeding the birds in the park.,The girl is eating the birds.
contradiction,Dirt bikes get airborne at a racetrack.,The riders are sitting idly.
contradiction,Two men walking down the street.,the men are asleep in the motel
contradiction,A sunset over a lake.,A sunrise over a lake.
contradiction,Construction workers are working on a pipe on the side of a building.,The construction workers are getting ready to go home.
contradiction,A young woman smiles at the camera as she sunbathes in the ocean.,The young woman is running up hill.
contradiction,A man without a shirt is working on the roof of a house.,A shirtless man is sunbathing on the roof of a house
contradiction,A child playing with her peers in the school playground.,The children are inside the school reading books.
contradiction,"Six people in water wearing swimming suits, one man with his trucks pulled up above his belly button.",The 6 people are wearing dresses and riding on a train while it is pouring outside.
contradiction,A man dressed in an army uniform next to a person with a green shirt hanging from a pole.,there is a man dressed in a policeman uniform standing next to a person wearing a suspenders hanging from a street lamp
contradiction,Busy checkout in a oriental grocery store.,Empty checkout at a mexican store.
contradiction,"5 female soccer players wearing green uniforms, huddled on a field with their yellow-clad coach.",An all male soccer team huddle with the ref on the sidelines.
contradiction,A surfer in a black wetsuit holding his balance on the crest of a wave as it begins to break around him.,A person is snowmobiling
contradiction,A man looks at merchandise in a store.,The man is walking out of a store.
contradiction,Four children gather in front of a fence.,A man drives his car into his driveway.
contradiction,Two men are working so hard.,Two older women are talking to each other.
contradiction,Man in orange vest maintains the wall tiles.,A worker is sitting down eating lunch.
contradiction,Two people ride the train.,The train is crowded.
contradiction,A street musician in a red jacket and sweatpants plays guitar while pedestrians walk past.,A man sells his poetry for money in the subway station.
contradiction,A clown wearing a cowboy hat and a microphone smiles.,A clown wearing a tuxedo and a lightbulb frowns.
contradiction,One soccer player in an orange uniform getting hit in the face by a ball kicked by a player in blue.,A player kicks a football and hits his teammate in the face.
contradiction,A woman is hanging her clothing on a clothesline.,The woman is hanging flowers on her front porch.
contradiction,A man competing in a sport with a horse.,A man is sleeping at home.
contradiction,A woman in an orange scarf pulls a pack of cigarettes from a carton.,The woman is buying cigarettes from a store.
contradiction,Three oriental men are riding on a red moped scooter in the city with many people.,three men are laying on the beach
contradiction,Two volleyball girls team both jumping for a double high-five,Girls are dancing.
contradiction,Someone wearing a blue shirt is riding a bike with a child's seat on the front of it.,A person is riding a bike with an elephant in the child seat.
contradiction,"Two little children, one boy and one girl, laugh as they sit on the grass.",The children are inside playing video games.
contradiction,"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",Two friends playing
contradiction,A woman in hospital scrubs jumps on the sidewalk as a second woman in hospital scrubs watches.,A man and a woman are standing outside of their office building.
contradiction,A man dressed in a yellow sports uniform and another man dressed in a red and white sports uniform holding sticks with a ball floating between them.,Two women fight over a soccer ball on a field in the rain.
contradiction,Person with black hat and black coat near buildings with signs.,A person sunbathes near buildings with signs.
contradiction,A woman is standing in front of a counter at a cafe.,a man robs a cafe
contradiction,Woman on four way seesaw with 2 kids.,The kids are running through the park.
contradiction,A child with goggles and a floaty swimming in a body of water.,A child wearing goggles jumps off a diving board.
contradiction,A man in a yellow shirt and striped pants is sitting at a small table outside.,The man is standing on top of the flagpole.
contradiction,"An african american lady holding numerous items like cups, plate, baskets, etc.",A man walks alone.
contradiction,Group of three men and women in their late 20s watching an older man play guitar in the park.,An old man is playing the flute.
contradiction,"Rocks surround the feet of an adventurer, burrowing into an underground cave.",Two ladies watching the scenery in the pool.
contradiction,A woman is looking over her products.,A woman is giving  her products
contradiction,A bicyclist waits to cross a street.,A bicyclist riding down the trail.
contradiction,Three women look on as two men look at the tire of a bike.,The women are looking at a newspaper
contradiction,People waiting for train on tiled platform.,People stuck in traffic on the highway.
contradiction,A couple crossing the street at night.,A couple are crossing a river by canoe.
contradiction,A group of soldiers in silhouette against an urban skyline.,Soldiers are inside the dining hall.
contradiction,Cabins in winter surrounded by people enjoying the white powder.,People slept in winter.
contradiction,A kid is using a touch-screen computer in a retail store.,A kid shooting hoops
contradiction,Two kids asleep on a futon.,Two kids are running a marathon.
contradiction,An Asian kickboxer is in the middle of kicking his opponent in the ring at a Mohegan Sun casino.,the men are skipping across the casino floor as they just hit the jackpot
contradiction,"A woman with a blue shirt and blue shorts has her hand on a white taxi, as a boy in a green and white shirt walks beside her.",A boy chases a woman who is stealing his taxi.
contradiction,A little girl in a white sweater with polka dots is playing with a wooden tracked train set.,A girl plays with her doll.
contradiction,Man checking under the hood of a vintage car in a parade.,man walking around the vintage car in parade
contradiction,A woman with a black shirt and black scarf looks at the camera while holding a cellphone.,The woman is juggling chainsawas.
contradiction,A half dozen construction workers stand beside a large piece of equipment.,The workers are destroying the tea making equipment.
contradiction,"The infant has plenty of toys, but attention is drawn to the nearby cat.",The infant is playing with a puppie.
contradiction,Two young boys rollerskating with a girl and her mother in the background.,The boys are biking.
contradiction,A person on a bike and wearing a helmet rides through a wooded area.,A person on a bike and wearing a helmet rides through an urban area.
contradiction,A baseball player with# 22 on his uniform swings at a ball.,A ball player is pitching on the mound.
contradiction,A young boy with an older man using chalk to draw on the sidewalk.,A young boy with an older woman using chalk to draw on the sidewalk.
contradiction,A man shovels snow off of a sidewalk while a child in a red parka walks by.,The man is sitting out in his bathing suit.
contradiction,A man in military camouflage is working a shepherd type dog in a grassy area while being observed by others in a parking lot in uniform.,The poodle is being taught a special agility program by the man in the privacy of their backyard.
contradiction,Discussing the rainy weather.,The two dogs are talking about the weather.
contradiction,Three track runners are in the process of crossing the finish line during an Olympic type sporting event.,three women compete in water polo
contradiction,A woman in a brown shirt is speaking to someone.,A man is talking to his man.
contradiction,An old man wearing a blue jean jacket is sitting at the counter of a magazine stand,An old man is planning to sleep.
contradiction,Two men in black clothes at a meat market showing a red meat while workers in blue look on.,The meat is chicken.
contradiction,A dog running with something in its mouth,A dog is currently sleeping
contradiction,A white man is speaking with two Indian businessmen.,The man is speaking with two young women.
contradiction,Little girl on skis,A boy on skis.
contradiction,A golden retriever catches a tennis ball in the snow.,A dog is taking a nap.
contradiction,A person playing with a black dog outdoors on a snowy lane with trees in the background and blue skies above.,A person is cuddling with his dog near the tv
contradiction,Young boy using a vacuum cleaner on a rug.,The boy is playing videogames.
contradiction,A man intricately works on clocks under a light.,The man is in the dark asleep.
contradiction,On a partly cloudy day a clown in red plaid overalls relaxes in the back of his tent.,A clown in the middle of a circus act.
contradiction,"A masked steel worker in orange works on a piece of metal, yellow sparks flying.",A worker is eating lunch.
contradiction,Several people walking past a food cart on a city street.,There is no place to buy food on the street.
contradiction,Two men in a laboratory are peering through microscopes to observe slides.,The women were looking throught the microscoe.
contradiction,A man sitting and reading.,The man is standing.
contradiction,solitary skier nears base of a downhill slope,three skiers on top of a mountain
contradiction,"A crane, with the letters ""LIEBHERR"" on it, seems to be demolishing a dark gray building with graffiti on it.",The crane is idle with noone controlling it.
contradiction,a girl in red pants riding on a moped.,the girls is naked on the mpoed
contradiction,A woman and a man cutting dough into small pieces.,A man and a woman are cutting up vegetables.
contradiction,A young Asian man and woman seated in front of the steps of a small business smoking cigarettes.,The man and woman are standing.
contradiction,A doctor and is staff is operating on a patient.,A doctor is eating on top of a patient.
contradiction,"Two children, one boy and one girl, sitting in a garden behind a bean fence.","Two children, both boys, sitting in a garden behind a bean fence."
contradiction,Woman in colorful shirt works at sewing machine.,The woman is wearing all black.
contradiction,A hiker stands on a hill looking into the distance.,they hated each other
contradiction,"A group of men pose for a picture, all in orange reflective vests.",A group of men are asleep in their quarters.
contradiction,View past a microphone to an out-of-focus guitar player.,A man throws a guitar at the camera.
contradiction,Two dogs are chasing each other on green grass.,The cats are fighting over a stick
contradiction,A man riding a cart pulled by a donkey.,The donkey and the man are walking side by side
contradiction,"A woman in a purple sweater stands with her arms folded beside several pieces of luggage while two other women stand beside her, looking in her direction.",There is a woman sitting next to several pieces of luggage.
contradiction,An elderly Asian man is wearing a colorful hat and sitting in a chair.,A man playing tennis
contradiction,A Dancer at Mardi Gras parade,A woman is dressed as an elf at a Christmas parade.
contradiction,A dog leaps on the sandy beach.,The lion chases birds on the beach shore.
contradiction,Four boys play in the mud.,Four boys are sitting at a table.
contradiction,An old man wearing a red suit stands in a large social gathering.,The man is 10 years old
contradiction,This man is smiling very big at the camera.,The man is yelling at the camera.
contradiction,A woman addressing a diverse group of people standing in the street.,A woman is laying down in the street.
contradiction,three boys play with a football near a volleyball net at the beach.,Three boys are playing with a baseball in a field.
contradiction,A man wearing a black hat is walking through a busy city street.,the man is visiing the country and milking cows
contradiction,A young cheerleader is performing with a her squad during a game.,The game the cheerleaders are performing for is over.
contradiction,A man in a red shirt grabbing a top hat while standing on a rope with 6 other people looking on.,the 6 men are all crossing the rope at the same time
contradiction,Men in a busy restaurant observe decorations.,Two ladies in an empty restauarant are observing the decorations.
contradiction,There are shadows of two people sitting in front of a lighted sculpture.,the people are standing
contradiction,Two women in black hats stand on the street.,Two women sit on the steps of their apartment building.
contradiction,A man and woman are having a discussion while military members look on.,There is a beach ball on the sand.
contradiction,A girl in a yellow top is paddling a wooden boat past a wooden jetty.,a boy is paddling a wooden boat
contradiction,Hooded women are walking down a hill.,"The woman are all wearing bikinis, soaking up the Sun's warm rays on the hot beach."
contradiction,"A child stands in front of the Palestinian flag, appearing to speak to someone off-camera.",An adult sits behind a flag not talking to anyone.
contradiction,A baby in a polka dot bib is not happy eating his soup.,the baby is happy eating soup
contradiction,A Ukrainian dancer kicks up his heels.,A woman checks into a hotel.
contradiction,A little boy is standing on a peer next to a boat.,A boy is driving a car.
contradiction,The children take a crack at rock climbing.,Children are sitting outside.
contradiction,"Two females are playing rugby on a field, one with a blue uniform and one with a white uniform.",Two female rugby sit out from the game
contradiction,"Men, women and children dance at a party.",Some people are crying at a funeral.
contradiction,A man is walking in the shade of a market.,the man is driving
contradiction,A woman sits on a train and reads intently.,A woman walking to her plane.
contradiction,People gathered on the street smiling and waving.,the street was closed all day so no one could walk down it
contradiction,A little girl with blond-hair dressed in a black tank top and a skirt watering outdoor plants with a hose.,The little girl is sitting on her couch.
contradiction,People holding onto ropes while trying to get something through a window on the second floor.,People climbing ropes through a second story window
contradiction,A woman is sitting on some steps and relaxing with her eyes closed.,She is lying on the massage table
contradiction,A boy in a green shirt running in the sand.,The boy is sitting on the beach digging in the sand.
contradiction,people fixing the side of a building.,People are rapelling down the side of a building.
contradiction,A girl is winding up to throw a softball.,A boy with a balloon.
contradiction,Three children run on the walkway by the river.,There is nobody by the river.
contradiction,A woman in a gray dress is preparing pineapples.,A woman is preparing to wear pineapples as party dresses.
contradiction,A brown dog walks on top of a felled tree trunk.,The dog walks across the concrete bridge.
contradiction,A young African american boy with red pants standing in front of a house.,A young African american boy sits at school.
contradiction,"Attractive woman, Roller derby team ""Roller Girls"" stares, while fixing her shirt and holding a bag.",A woman is naked.
contradiction,Students investigate photos up close in class.,The students are blind.
contradiction,A little boy holds a bat in the air waiting on the ball.,A boy scout rubs to sticks together.
contradiction,African American woman in a blue coat walks with her blue cart.,She is about to cross the finish line competing at an Olympic sprinting competition.
contradiction,a man in a yellow shirt training a black poodle,A man in a red shirt is training a golden retriever.
contradiction,Two men are on a police boat.,The men are swimming by the police boat.
contradiction,A man climbing the side of a cliff.,The man is riding a bike
contradiction,A little boy in a swimming pool.,A dog is swimming in a pool
contradiction,A young girl in a yellow tank top holding a piece of a blue pinata.,A tank drives over the blue Pinto.
contradiction,Two people riding their bicycles down a dirt road.,The bikers are riding stationary bikes in a gym.
contradiction,a gymnast in a blue leotard is doing a handstand on the workout floor.,The individual is sleeping.
contradiction,A child gets dental care from a dentist as the another health professional holds his hand.,a vet performs surgery on a puppy
contradiction,A bull terrier terrorizes an old tire in the sand.,The dog is a poodle.
contradiction,Man tickling two twin girls.,the mom played with the twin boys
contradiction,Cute little boy in an army shirt blowing a kiss at a small lizard.,The guy in the army shirt spit on the lizard.
contradiction,Two men are giving shoeshines in an outdoor setting.,Two people relaxing after work.
contradiction,Smiling woman in white sunglasses is holding clear plastic cup.,The woman is crying
contradiction,A couple are walking their dog.,A herd of cows crossing a stream.
contradiction,A retail professional pauses while interacting with customers.,A retail salesman is at the bar with his friends.
contradiction,A man stands in a crowd holding a white object.,A man eating dinner.
contradiction,man in a green hat sites on a green bench with snacks.,A man is feeding pigeons while sitting on a bench.
contradiction,A person has dental work done at the hands of a man and a woman.,engineers are preparing the plan.
contradiction,A man talking to a woman who is pushing a baby stroller.,The man is pushing the baby stroller.
contradiction,"A group of people, some in hard hats, are looking at something.",People are walking along the beach.
contradiction,Three people are near an airport window with their luggage,The people are walking their dogs.
contradiction,A bass player in a red shirt is playing while smoking a cigarette.,A lead singer is drinking alcohol.
contradiction,A bright market in a far eastern country is displayed with a line of bikes while people walk by.,A small marketplace in Mexico has lots of sombreros lined up.
contradiction,"An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.",A man is driving a car.
contradiction,People walking down the street and past an open bus.,People on the bus use make shit fans to cool themselves after the air conditioning system failed.
contradiction,A man wearing an orange shirt is working in a mud hole,A man works on an electric pole in the air.
contradiction,The black dog emerges from the water having collected an object in his teeth.,A black dog is sitting on a dog bed.
contradiction,A line of six children in bathing suits prepare to leap into a swimming pool.,The children are wearing snow suits.
contradiction,Food is prepared in an open air market.,The food is prepared at a restaurant.
contradiction,The journey is temporarily delayed by mechanical malfunctions.,The journey is delayed because of a hurricane.
contradiction,Three people sit at their laptops inside a coffee shop.,Three people are sitting at a movie theater.
contradiction,A man in work clothes is holding a chain.,a guy and a horse
contradiction,A dog runs with a yellow toy in its mouth.,A dog is sleep.
contradiction,Three women are taking pictures from a cliff.,The woman are drawing pictures while they sit at easels they set up.
contradiction,Two professional businessmen having a conversation.,Two business men stand near each other not talking.
contradiction,A young man in a blue jersey riding a yellow dirt bike appears to be riding it around a corner in the midst of a race.,The boy is watching tv
contradiction,A man and a woman are sitting on the grass.,A man and a woman are playing frisbee.
contradiction,"People are acting the ""Passion of Christ"".",They are jewish
contradiction,"A woman in jeans, sneaker, and sneakers walking down a sidewalk while messaging.",A woman is not wearing shoes.
contradiction,A blond boy in a brown sweater pains on a colorful umbrella.,A blond boy in a brown sweater is destroying an umbrella
contradiction,"A person with blond-hair stands on their head while two other people, also standing on their heads, are in the background.","Three people are standing normally, smiling at the camera."
contradiction,A young guy and girl with arms around each other as they enter an establishment.,cow runs from man
contradiction,A young girl wears a butterfly costume.,A young girl is wearing pajamas.
contradiction,Two young ladies are sitting on a small be in skimpy dresses.,two dogs chase cars
contradiction,A man throwing a green ball in front of a group of people.,The man is alone.
contradiction,Women are standing around filled garbage bags on the street.,Women are watching Oscar the Grouch on television.
contradiction,A group of people wearing life vests standing on a rock.,People on a truck
contradiction,A gray-haired man with glasses is sitting on a large bench with his legs stretched out.,The man is holding a glass of water while his legs are stretched out on a bench.
contradiction,Asian woman walking across a crosswalk in the street.,a dog jumps
contradiction,The team in red and blue is playing soccer with the team in purple and white.,The two teams are playing football.
contradiction,A hirsute man looks in the mirror as he shaves his lathered face.,The woman is shaving her face.
contradiction,A woman bending over by colored lanterns on a beach.,The woman is skiing.
contradiction,Man tossing an onion in the kitchen.,A man is tossing a banana.
contradiction,People toss candy as they celebrate on top of a float.,The people are in a meeting.
contradiction,A bearded man in a white t-shirt is riding a motorcycle.,A woman is biking through the park.
contradiction,Asian boy plays a sports game wearing his blue jersey.,The blonde american kid is watching a play for school.
contradiction,a white dog jumping in green grass by a brickwall and a stream of water,The dog is purple.
contradiction,Three men playing soccer outdoors.,"Three men are inside, watching a soccer game on TV."
contradiction,A woman is working with wine.,The woman is holding a soda.
contradiction,A man and woman playing a game outside.,Two men are playing outside
contradiction,A boy falling headfirst into a pool,"A boy is sitting on the edge of the pool, dipping his feet."
contradiction,A group of friends or family all jumps at the same time for a portrait while on vacation.,A man takes a picture of a group of swans.
contradiction,"A woman wearing a white hat, black shirt, and blue pants walks by a elaborately decorated building.",A woman in a black shirt and blue pants trips and falls in front of a highly designed building.
contradiction,"Two teams line up either side of a pylon, on a barren playing field",The two teams were playing in a lake
contradiction,"Two women, one wearing a blue shirt and glasses and the other wearing a ball cap and black shirt, are in a laboratory setting with a bearded man.",A woman in a lab coat is drawing blood from a patient.
contradiction,There is one man standing behind the counter at a restaurant where all the words on the signs are in Spanish.,The man is sitting and waiting for his meal.
contradiction,"Vibrant colored dress wearing, long-haired women and men, under a bridge, dance in joy while a lone member holds up a peace sign with her hand.",People dressed in all black are sadly standing under a bridge.
contradiction,A man is playing an interment in a concert,The man is sleeping
contradiction,Man and woman wearing sunglasses posing for picture.,A man and woman sit in a dark theater
contradiction,Two men dressed in street clothes horse around in front of a building.,Two men are walking down a crowded street
contradiction,All these people are enjoying a basement dance party.,A big outdoor party
contradiction,A girl in a black leotard dances while a girl in a red leotard and torn stockings watching in the middle of a street.,A boy swings a baseball bat.
contradiction,There are four people talking in the phone booths.,Animals are in the phone booths.
contradiction,Some people pull on a rope while many others look on.,The people are having a picnic
contradiction,"A dozen Asian men are sitting and standing in a group, they are dressed casually and are looking at something on the ground.",the people are wondering around looking at clouds
contradiction,Children jumping off of cement.,The children are asleep.
contradiction,A woman leaning against a white cross looking at the ocean below.,The woman is sitting on the ground contemplating the sky.
contradiction,A gray train with purple and blue stripes moves down a rusty track through trees.,The train is plain white.
contradiction,A toddler in a pink shirt in a bucket swing.,A man in a pink shirt observes the swing set.
contradiction,A man is sitting on a brick street drumming on various cans and pails.,A man is playing the violin on the street.
contradiction,An old man sits on a bench overlooking the water.,The old man is jumping into the water.
contradiction,"A varied crowd mills about (or rough-houses) on a public street, with lots of bicycles on display.",A baby sleeps in a crib.
contradiction,A person is flying through the air on a bicycle after leaving a dirt jump.,The person is in an airplane.
contradiction,"A man is examining a bicycle tire, while a woman dressed in blue is kneeling next to the bicycle.",The woman is in red.
contradiction,guy walking two huge poodles.,A woman is walking with dogs.
contradiction,A man making cement risers.,A man pushes a cart
contradiction,Two men are working on a sidewalk.,Two men are working on a swimming pool.
contradiction,Several people are riding motorcycles down a narrow street.,A bunch of people pushing motorcycles down highway.
contradiction,A man in a blue shirt and jeans is laying on rocks.,A woman is laying on her bed in her bedroom.
contradiction,A few men are sitting on chairs and standing under a large red umbrella.,Men are sitting on stools under a large umbrella
contradiction,A man in a white shirt and jeans is standing next to old wood.,Man sitting at home.
contradiction,Boy eating at a picnic table.,A man is in a restaurant.
contradiction,A boy in a blue shirt is lining up a shot in a game of pool.,A boy in a red shirt plays pool.
contradiction,skier in red pants skiing down a slope,A skier is caught in an avalanche.
contradiction,"Two women are standing with a young boy in a blue hat, and the one on the left is casually checking her cellphone.",Guys standing with young girl
contradiction,A man in an orange shirt in front of picture of a man holding his face and squeezing his cheeks together.,There was a cameraman taking photos of nature
contradiction,Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.,Five men are dancing.
contradiction,A man and woman are standing outside a store.,Two men eating dinner.
contradiction,Couple dancing in the center of a circle of spectators.,A couple sits down to eat their lunch.
contradiction,A man in a white shirt at a stand surrounded by beverages and lots of lemons.,"A man is sitting at a picnic table, sipping a drink."
contradiction,A group of people gathered together in a field eating barbecued meats while drinking Pepsi.,The people are sleeping.
contradiction,A man is jumping from a boulder into a body of water while wearing only shorts.,The man is jumping on a trampoline.
contradiction,A group of people in yellow and black uniforms performing in front of a large crowd.,The group performing were wearing teal and fuschia uniforms.
contradiction,A white male playing a bass guitar and kicking into the air.,A male is doing push ups.
contradiction,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness.,The woman is sleeping.
contradiction,Pottery and cars are shown in a parking lot with a man in a blue outfit is leaning against the front of his car.,The man drives around the parking lot.
contradiction,Man in denim hat wearing dark sunglasses.,Nobody in sunglasses.
contradiction,A young man plays the piano and sings in a concert.,A young man is yelling at strangers.
contradiction,The horse on the left is brown.,The horse on the left is white.
contradiction,A male performer is playing a cello.,A dog is tired and don't want to listen.
contradiction,"A lady wearing a red vest is holding a shovel as she and a man, holding a blue shovel, pose for the camera.",two people sit on a couch
contradiction,A small dog is running on the grass beside the road.,A dog sleeps on the grass
contradiction,A goal defending the goal in a hockey game.,A runner on a oval track runs.
contradiction,Two kids in snow hats and blue and green coats are swinging on a tire swing out in the snow.,Nobody has a hat
contradiction,A person in a kayak is going over a small waterfall.,A dog eats a chicken.
contradiction,A window artist stops for a quick break as she decides on her next set of strokes.,A woman is running
contradiction,A crowd of people are at a supermarket.,There is nobody at the supermarket.
contradiction,Many people leading a giant blow-up figure of Oscar the Grouch down a street.,Many people are leading a giant blow-up figure of an Oscar award down a street.
contradiction,One adult and three children gathered on the floor looking at a picture on a digital camera.,A kid is taking a picture of a group of toddlers.
contradiction,A man wearing black and a woman wearing white are smiling.,The people are in a fight and yelling at each other.'
contradiction,A boy is trying to catch a Frisbee in a field.,A boy burnt the Frisbee in a field.
contradiction,A dog in the snow.,Some puppies were left mistakenly outside in the snow with the door shut behind them
contradiction,Two men carrying a canoe down a steep incline.,the child was 18 years old
contradiction,A military group stands at attention.,A group of soldiers are sleeping.
contradiction,Young children wave and watch something out of sight.,Young children are holding signs.
contradiction,"A woman wearing black sunglasses, bikini bottoms, and a black shirt playing volleyball.",A man prepares a golf swing.
contradiction,Three boys are running on the beach playing a game.,The boys are bored in school.
contradiction,A man is playing the guitar in front of a microphone while another man is in the background playing the drums.,There is no percussion accompaniment.
contradiction,A man holding a rifle next to his brown dog.,A man is climbing a tree.
contradiction,Three women standing by a table with drinks on it on a city sidewalk.,a motorcycle crashes into a ditch
contradiction,A person in a white hooded shirt is sitting in a chair near a body of water and there are buildings in the background.,a person running a marathon
contradiction,A blond woman wearing pink holds an infant wrapped in a blanket.,A woman jogging through a park.
contradiction,A team of breakdancers sets up along the side of a road in the city as many onlookers gather.,The dancers are robbing the bank.
contradiction,Three men are setting up a scene by measuring the lights for a couple sitting on a low couch.,Three men are sitting down on a low couch with a couple.
contradiction,"Three police officers tape off a section of sidewalk, blocking a group of people.",Three police officers enjoying their vacation in Paris.
contradiction,People walking along a path on a sunny day.,The people are walking at night.
contradiction,A woman in a hat tends to a herd of reindeer in a field.,The woman is feeding a herd of sheep.
contradiction,A crowd of people are gathered with a sky scene in the background.,People are gathered with a ground scene in the background.
contradiction,"A fruit market stand displaying artichokes, and many different kinds of fruit.",A grocery store shelf with cans of beans
contradiction,"Two girls, one wearing a pink shirt and the other wearing a white shirt, are throwing hay in the air.",There are no girls
contradiction,Two male and six female dancers perform on stage.,boys are singing in the public.
contradiction,A child is dressed up in costume and holding a trident.,A woman is running her bath.
contradiction,A cat sits on top of a store sign.,A cat laps up milk outside on the porch.
contradiction,A bride on her wedding day wearing her orange belt.,A groom on his wedding day wearing his orange belt.
contradiction,"A man is on the side of the road, while his vehicle is off of the road.",A man is driving down the highway.
contradiction,Two dogs are running through a grassy area near tall trees.,The dogs are asleep in the bedroom on a rug.
contradiction,Three boys playing and biking with a pile of sand in the middle,Three boys are biking in a meadow.
contradiction,A person in a red jacket is crossing a snow covered bridge over the cold river in the forest.,Someone wearing a yellow t-shirt crossing a road in the middle of the rain.
contradiction,"A long-haired skateboarder is about to exit a clean nosegrind on a public handrail, unaware of his surroundings while ignoring the negative public perception of skateboarders.",People are sitting and reading.
contradiction,The lady in red is very happy to see the young lady in white and black.,A lady in a blue dress looks disgusted to see another dressed in brown.
contradiction,A Yorkie jumped into the air to catch a red ball in its mouth.,The dog is trying to immobilize the ball because the ball is out to get the dog.
contradiction,A girl in a red and pink shirt is coloring with crayons on a coffee table with birthday presents and a television in the background.,a little boy is playing with a stick pony.
contradiction,"A smiling, young woman in a green long-sleeved shirt and jeans is leaning on a slightly taller young woman wearing a blue pullover and jeans.",A woman leans on her husband.
contradiction,A sweaty guy yelling into a microphone standing in front of a guy in a purple shirt.,The sweaty guy is whispering to the guy in the purple shirt.
contradiction,Female painting her big toe.,A woman paints her fingernails.
contradiction,A blond woman in a red t-shirt and a blur wristband sings into a microphone against a green background.,A woman plays a mute in a movie.
contradiction,A girl in a pink dress is standing on her head.,A girl is wearing a red dress
contradiction,A man with a red shirt and black hat suspends himself in the air by sitting on a pole and clinging to two wires with his hands.,A man sits at the bar and orders a drink.
contradiction,People wear uniforms during a rally or protest.,People are having a tea party in dresses.
contradiction,"One guy wearing a green wig thinks hes cool while another guy looks in horror at a bottle that apparently landed on the green wig guy in a game, all while a girl in a skirt is smiling at the camera.",All of the people are frowning.
contradiction,A tan and black dog runs over a green field with its mouth open.,The dog is sleeping in the grass.
contradiction,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",A woman in a yellow tank top and apron is cleaning the chair with a cloth.
contradiction,A woman in blue jeans and a creme shirt walking down the road with a rake and hoe in her right hand and gloves in her left hand.,A person is running with a stolen TV.
contradiction,Men at a rodeo try to tame a bull.,The men are riding a bull.
contradiction,A group of people on a bridge beside a boat.,People are looking up at an airliner.
contradiction,Many people are gathered in a crowded building.,People are waiting outside for a concert.
contradiction,Two men wearing blue are eating and drinking outside.,The men are jogging outside.
contradiction,A young field hockey player wearing a blue jersey takes possession of the ball.,The hockey player is sitting in the penalty box.
contradiction,"Two women both wearing white shirts and black pants, one smoking sitting on a fixture on the sidewalk.",Two women dance at a nightclub.
contradiction,A man is wearing yellow protective headphones while using a circular saw to carve pieces away from a tan stone sculpture.,A woman is painting.
